feature-id	frequency
9438ee1e20a4d8d48194ab54b0af7c02	84
0ca0ba0858c21b5dd4e7a8a85e74d3e8	83
365298992e4051d4c7528ad508c9db90	83
c528ae5f67babe96f0bcb2eca3156c46	83
6cbec401b23170885c20426e91d30c2e	82
ee919a18110d01d83f4375cab3783d08	82
0811fc8c18074917f5f20615c221e05e	80
7f9dec3e514738ad0b6863e247d49da6	80
c88d75e8cb08fb0ebb1e385909469cc9	80
24a9a32bebb1aaaf22e73500f84bb519	79
88569260d2757e5c453040a95907a0d1	78
d41177a9b8a0d1fde9143ab503c0bf24	76
c7f9ee039b6248a6e34fc8d5ff7548f5	76
e87becd240084a955cca4907e252bfd5	74
29e1a8ecc6d0694e334d1ec935160bf1	74
33d8e7f67fd3c76aefb1ebd722c63a3f	72
fa4aa9bfd9c9f1190e8e55f0f01013fc	72
ca627e3b1950850839bf35ed2379a65d	71
ce935928f9949c0d97681d72b1b46e8c	71
489faf5a064d9e6764772cf91e717bbf	69
2058799dd5b205e794d44e494306e991	68
695bf22ed0fd8f7769eff4a0344360de	68
eac4b72fc3040f8e65cc63d5dd6a402d	68
4f303abace2e7a40dabc60245741426a	68
0736cd3f272693b5c39ae6168d97dfe4	68
b72aca35760609b7201a6582cc91ae8f	67
3b8ce0143ca0eb0550cfe3358dc54e86	67
b93cfec367adcefa1539e7da033e7ed7	67
dbba5677ec936b7da3b6c069362383e3	66
e38eeb8bd60fe8d004b20eabccf471a9	66
1a9941b6f4e8684206df1369244feec3	66
fb938cf9f38bf03f785a8b0316791f90	65
eda035239f367c6a38a13e44f82e22c6	65
4861eb2fa1551bc05bf46bc1a77ac15a	64
7c1a69ec58a91e3fdf2e9de0bc5eae02	64
5b9d749a44c4a3ca4172e551a10cce94	64
e75e4503b347ce16371cd10e6ec497ac	64
09de8e9ca45f2fbdd1f5eae4f1e6856b	64
cf7d2872d4f38783533b11f645d16e49	63
d300e4509ec66e1742146b0fbd465719	63
a6eaaeccc89ae1379b84b48df752e44c	63
188b00265e05db772d695d7326148eb7	63
14f120f194c0cd0794d9fcb30bbb485a	63
675061b2d625ba5a1c48c7763d0838a8	61
f3f0ee72f73234a7efbb31ea803bc90b	61
0a97389897fcdb251e47f61a037dc0a7	60
199963dd6d4acf8055c2247a1b9653d0	60
bf1f86436364bd11695e7a9b247c44eb	59
a7e370a70dff6e84af69bd9276bb966c	59
84c5300547dcbab40c8b971bfd094f4e	58
e9a44505ae093591673993524c8a4294	57
4779159794807cf7e086cbdc191c2c81	57
