feature-id	frequency
35a96ce775c9f72c7be258b41a9c3c2c	741
44802e8a4527eb131cee6419867aa7d9	739
982668190fb6bcc57c41acc8273963e1	734
47f09c1f3e1c1dec5ab3e00195037958	730
32a7d6462e04cb15a4b2bac9480fd373	727
9ef7dca66f7b5278972fdc6a95a1d7c3	723
b41e220def4543d9208c8364fa12b1cb	719
9842937dd0d51884358b1d1282ebf0ce	719
8ab895cd5e8dc13eeecf714df2a0c2bb	716
d300e4509ec66e1742146b0fbd465719	708
5d762b59a5ab2ea6b90a9f1e483454a4	707
2e164eedb256f12162830e890dadaacc	706
670cae8b47aa174ddf450fb2e3bf802b	700
237eb6e71aecbc40e2ea9de15a9cefec	699
b7faafb0ec71f17935154e411898efdb	694
f83d713c897cd95306745821c4aa2c8e	693
7b5c6cfafb03e03b35916ed8df350978	692
f12b560ba8958157cb3f32b80aadcc76	692
c1d621a33f182eabd664d41482f2e298	682
4827c8e4097edb411721e9f7d14a81d3	682
4972c8f0507189ba21ec6469cce183cc	676
053d95f8680ec80cef015c659ccb1881	672
1ad5b4a095313a037e2c215902d7649d	672
0da3d8f6a142693e19edb4f2c227a636	671
188b00265e05db772d695d7326148eb7	666
951835be591cf4c1c1af23b261a45bb9	665
39c407da65c812479348ee1e19fa9239	658
920e9863c1b3f739cdf7beefac2fff9b	652
b0019c8a6434d9dc187b3643eb682595	652
73a61695bf4f2af3b2c711b0d27a6214	647
befb9a046d5092ab5dc1dc751799e91a	643
2a1278e24f1059cb8d5f8e4e633fef0a	637
c447b6933993d6605ca9a710e681af9f	634
fa91ae3f930f43a4e9cbf12ddb0c20c3	633
228a2239934599a408b2fce5a9b559a4	632
71640e3ab304c1a32302bfda4eb22cf3	629
96d9c1cc6f0fe032ff4b2ede1ea9f2bd	628
e9a44505ae093591673993524c8a4294	626
34ae55d54f11bae90e814b044445bfae	623
c5162de2ba4880a52404f504e30deda8	623
060e5fc66accdc2f39cf1dddd258f612	619
de30a0ddb88c3c50eef86a2a9e8b261f	619
43e151bbc510e3b9f18919f8f61dde49	619
f5826a7686d5893516354c0e7cd1ed9f	615
baa4cd1dc131d28a75c7c452cf2bd3f2	614
4b4dbc668334d8d0873b2442f1fc710d	614
3956bb273915baad193ef0232e963f46	612
0d48485c5f804940e2bd5eecb21d8f6e	606
59deecdf39bb2856740e97928b9ba270	606
55111152e8dda7ff9a5568e94ceefcb5	603
351f427c9f81cf7a4b07fac32dca8f3c	603
84a657b4e1798a6cffb15486974c95d0	599
9a8bd754368e0e7c5e0d35735639657c	597
88569260d2757e5c453040a95907a0d1	596
00a6261bdd63237d29a8ca32b82f84bb	594
